name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
AZO,"AutoZone, Inc.",NYSE,3399.73,USD,0.98,-3.49,-2.58,-9.29,-11.41,0.72,-6.78,122.29,342.17,46194.20,2.43,2.52,3481.42,3513.72,3498.85,3551.02,3756.23,41.80,1,DOWN,NEUTRAL
COR,"Cencora, Inc.",NYSE,257.10,USD,0.55,1.31,-19.24,-29.68,-30.15,-23.75,-8.28,121.04,248.56,8871.99,2.71,2.81,271.64,302.09,315.14,333.98,327.19,24.79,1,DOWN,OVERSOLD
ADSK,"Autodesk, Inc.",NASDAQ,231.99,USD,0.42,-5.91,1.80,-0.26,-21.57,-21.62,-21.59,-15.64,300.40,46298.46,2.80,3.19,241.39,237.99,241.68,251.04,277.80,43.42,1,DOWN,NEUTRAL
CAH,"Cardinal Health, Inc.",NYSE,188.56,USD,1.19,-1.59,-11.48,-16.26,-8.84,-7.83,26.66,235.64,147.00,20845.08,2.58,2.88,188.97,202.28,206.53,210.68,190.65,37.55,1,DOWN,NEUTRAL
CMG,"Chipotle Mexican Grill, Inc.",NYSE,32.30,USD,0.59,-0.62,-7.26,-13.75,3.46,-13.29,-36.23,19.81,257.25,3488.89,2.46,3.08,32.48,33.70,33.54,35.99,37.18,43.41,1,DOWN,NEUTRAL
VMC,Vulcan Materials Company,NYSE,276.24,USD,0.62,-7.14,-7.17,-14.39,-2.52,-3.10,3.05,44.41,137.25,34340.05,1.84,2.44,285.77,289.40,280.77,292.40,292.52,39.70,1,DOWN,NEUTRAL
CCL,Carnival Corporation Ltd.,NYSE,25.87,USD,3.36,-6.32,-8.42,-22.38,0.58,-15.71,13.86,-5.24,-47.94,557.02,3.09,3.86,26.02,26.83,26.20,28.59,28.69,46.92,1,DOWN,NEUTRAL
MLM,"Martin Marietta Materials, Inc.",NYSE,580.95,USD,0.72,-6.36,-8.71,-12.18,-2.97,-6.19,6.68,54.30,212.57,2259.17,1.75,2.54,595.51,609.40,600.66,628.94,622.31,38.02,1,DOWN,NEUTRAL
LVS,Las Vegas Sands Corp.,NYSE,51.73,USD,0.79,-3.35,-6.46,-10.62,-20.46,-20.67,22.05,-9.14,15.15,23.45,2.31,2.78,52.48,54.15,53.99,56.79,57.23,41.39,1,DOWN,NEUTRAL
KVUE,"Kenvue, Inc.",NYSE,17.25,USD,0.35,-1.48,0.41,-6.61,2.56,-0.12,-26.28,-32.43,-32.43,-32.43,1.78,1.91,17.40,17.38,17.48,17.62,17.72,46.27,1,DOWN,NEUTRAL
A,"Agilent Technologies, Inc.",NYSE,113.40,USD,0.59,-3.59,-3.93,-12.09,-21.97,-16.76,-1.35,-13.33,166.13,269.91,2.72,2.88,114.67,116.23,115.07,124.42,129.46,45.70,1,DOWN,NEUTRAL
CPRT,"Copart, Inc.",NASDAQ,33.04,USD,0.30,-0.99,-0.45,-16.35,-20.69,-15.60,-46.80,7.48,518.15,23394.94,1.93,2.01,33.36,33.32,33.66,36.39,40.25,43.65,1,DOWN,NEUTRAL
AXON,Axon Enterprise Inc,NASDAQ,379.98,USD,0.84,-6.96,2.30,-13.29,-30.78,-33.73,-47.59,190.61,1859.64,65039.17,5.93,5.47,393.78,392.56,431.88,485.80,585.71,41.90,1,DOWN,NEUTRAL
